school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
6,600009,600009c,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0,57.31,36.92,30.62,75.66
6,600009,600009d,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0.08,45.64,64.74,25.37,70.85
6,600009,600009e,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0.04,33.23,50.44,32.2,81.23
6,600009,600009f,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0,29.6,34.13,35.6,81.48
6,600009,600009g,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0.07,47.45,52.83,24.71,86.63
6,600010,600010a,1,D,0,0,1,Woman non-URM,0,-0.140388122,0,3,0,0,1,1,1,0,40.35,47.18,24.11,87.78
6,600010,600010b,1,D,0,0,1,Woman non-URM,0,-0.140388122,0,3,0,0,1,1,1,0.24,61.65,48.59,29.34,71.79
6,600010,600010c,1,D,0,0,1,Woman non-URM,0,-0.140388122,0,3,0,0,1,1,1,0,51.79,56.13,14.03,89.37
6,600010,600010d,1,D,0,0,1,Woman non-URM,0,-0.140388122,0,3,0,0,1,1,1,0.23,77.28,71,15.34,79.6
6,600010,600010e,1,D,0,0,1,Woman non-URM,0,-0.140388122,0,3,0,0,1,1,1,0.53,83.87,34.02,32.22,67.85
6,600011,600011a,0,F,0,0,0,Man non-URM,0,-1.112841157,0,5,0,0,1,1,1,0.44,63.75,46.6,40.51,89.06
6,600011,600011b,0,F,0,0,0,Man non-URM,0,-1.112841157,0,5,0,0,1,1,1,0.41,54.95,55.8,16.68,94.44
6,600011,600011c,0,F,0,0,0,Man non-URM,0,-1.112841157,0,5,0,0,1,1,1,0.38,65.44,47.43,13.14,87.72
6,600011,600011d,0,F,0,0,0,Man non-URM,0,-1.112841157,0,5,0,0,1,1,1,0.38,79.75,66.57,16.06,83.89
6,600011,600011e,0,F,0,0,0,Man non-URM,0,-1.112841157,0,5,0,0,1,1,1,0.31,39.18,39.61,26.42,92.43
6,600012,600012a,0,H,0,0,1,Woman non-URM,0,-0.723859943,0,4,0,0,1,1,1,0.22,21.6,69.92,8.64,89.52
6,600012,600012b,0,H,0,0,1,Woman non-URM,0,-0.723859943,0,4,0,0,1,1,1,0.8,33.24,68.12,2.7,94.15
6,600012,600012c,0,H,0,0,1,Woman non-URM,0,-0.723859943,0,4,0,0,1,1,1,0.45,56.38,54.94,7.44,83.78
6,600012,600012d,0,H,0,0,1,Woman non-URM,0,-0.723859943,0,4,0,0,1,1,1,0,49.66,59.13,24.19,85.57
6,600012,600012e,0,H,0,0,1,Woman non-URM,0,-0.723859943,0,4,0,0,1,1,1,0.53,31.1,76.77,3.87,89.76
6,600013,600013a,0,H,0,0,0,Man non-URM,0,-0.237633425,2,2,0,0,1,1,1,0.8,61.6,66.3,14.75,88.39
6,600013,600013b,0,H,0,0,0,Man non-URM,0,-0.237633425,2,2,0,0,1,1,1,1.03,53.92,59.1,14.24,87.52
6,600013,600013c,0,H,0,0,0,Man non-URM,0,-0.237633425,2,2,0,0,1,1,1,0.8,49.26,63.15,7.03,90.06
6,600013,600013d,0,H,0,0,0,Man non-URM,0,-0.237633425,2,2,0,0,1,1,1,0.97,57.02,47.45,17.73,89.71
